"ITCH",,"BOWE",,"NITE",,"LNBC",,"BMW",,"DWY",,"HUCK",,"BSB",,"SWR",,"FISH"
"Player","$","Player","$","Player","$","Player","$","Player","$","Player","$","Player","$","Player","$","Player","$","Player","$"
"Matt Forte",44,"Roddy White",33,"Eddie Lacy",30,"LeSean McCoy",61,"Arian Foster",62,"Ray Rice",65,"Jamal Charles",66,"Aaron Rodgers",45,"Calvin Johnson",46,"Demaryius Thomas",37
"Darren McFadden",32,"Doug Martin",31,"Peyton Manning",18,"Dez Bryant",45,"Jimmy Graham",35,"Cam Newton",32,"Marshawn Lynch",31,"Maurice Jones Drew",33,"Drew Brees",38,"Darren Sproles",32
"Larry Fitzgerald",32,"Victor Cruz",24,"Danny Amendola",13,"DeMarco Murray",25,"Wes Welker",29,"Tony Gonzalez",20,"Steven Jackson",29,"Andre Johnson",32,"Reggie Bush",28,"Chris Johnson",27
"Le'Veon Bell",31,"Dwayne Bowe",18,"Robert Griffin III",12,"AJ Green",23,"James Jones",8,"Charles Clay",10,"Tom Brady",26,"Adrian Peterson",31,"Montee Ball",26,"Brandon Marshall",25
"Frank Gore",14,"Giovanni Bernard",14,"Chiefs",11,"Hakeem Nicks",10,"Fred Jackson",7,"Eric Decker",10,"Keenan Allen",8,"Nick Foles",18,"Marques Colston",21,"Matt Stafford",16
"Antonio Brown",12,"Ben Tate",9,"Rashad Jennings",9,"Jason Witten",10,"Chris Ogbonnaya",6,"Pierre Garcon",10,"Adam Vinatieri",2,"Julius Thomas",16,"Lamar Miller",15,"Jaquizz Rodgers",5
"Mike Wallace",11,"Steven Ridley",9,"49ers",8,"Julian Edelman",3,"CJ Spiller",6,"Sidney Rice",10,"Antonio Gates",2,"Vincent Jackson",14,"Jarrett Boykin",9,"Stevie Johnson",4
"Michael Crabtree",10,"Cecil Shorts",8,"Brian Hartline",8,"Alfred Morris",2,"Andrew Luck",5,"Matt Ryan",9,"Dennis Johnson",2,"Jordy Nelson",11,"Christine Michael",1,"Trent Richardson",3
"Titans",10,"Donald Brown",6,"DeSean Jackson",8,"Bengals",2,"T.Y. Hilton",5,"Aaron Dobson",7,"Matt Prater",2,"Tavon Austin",8,"Cowboys",1,"Alex Smith",2
"Julio Jones",5,"Russell Wilson",4,"Vernon Davis",8,"Colin Kaepernick",2,"Browns",4,"Danny Woodhead",5,"Patriots",2,"Seahawks",7,"Greg Olsen",1,"Rob Gronkowski",2
"Tony Romo",5,"Ben Roethlisberger",2,"Anquan Boldin",7,"Phil Dawson",2,"Justin Tucker",3,"Blair Walsh",2,"Alshon Jeffery",1,"Ryan Mathews",5,"Joique Bell",1,"Shane Vereen",2
"Coby Fleener",3,"Eagles",2,"Andy Dalton",1,"Bryce Brown",1,"Broncos",1,"Torrey Smith",2,"Dolphins",1,"Martellus Bennett",3,"Knowshon Moreno",1,"Andre Ellington",1
"Cardinals",1,"Jordan Cameron",2,"Bobby Rainey",1,"Jay Cutler",1,"Jeremy Maclin",1,"Bears",1,"Joe Flacco",1,"Denarius Moore",2,"Michael Floyd",1,"Dalanie Walker",1
"Case Keenum",1,"Andre Brown",1,"Chris Ivory",1,"Kirk Cousins",1,"Kendall Wright",1,"Cordarrelle Patterson",1,"Miles Austin",1,"Scott Tolzien",2,"Randy Bullock",1,"DeAndre Hopkins",1
"Josh Gordon ",1,"Marquise Goodwin",1,"Dennis Pitta",1,"Panthers",1,"Mike Tolbert",1,"Golden Tate",1,"Phillip Rivers",1,"Stephen Gostkowski",2,"Ravens",1,"Greg Zuerlein",1
"Pierre Thomas",1,"Rueben Randle",1,"Greg Jennings",1,"Percy Harvin",1,"Reggie Wayne",1,"Jerricho Cotchery",1,"Toby Gerhart",1,"Rams",1,"Scott Chandler",1,"Nate Burleson",1
"Ryan Succop",1,"Steven Hauschka",1,"Mason Crosby",1,"Randall Cobb",1,"Riley Cooper",1,"Reshard Mendenhall",1,"Tyler Eifert",1,"Zac Stacy",1,"Sebastian Janikowski",1,"Packers",1
