ADAM,,JODI,,RAMAN,,GREG,,ELISA,,LANCE,,STEVE,,JACKIE,,JASON (MITCH),,ROB,
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
T. Rawls,2,Bengals D,2,M. Ryan,4,Carson Palmer,14,E. Elliott,50,Aaron Rodgers,63,D. Carr,4,Drew Brees,22,T. Brady,20,M. Stafford,7
L. McCoy,40,Latavius Murray,28,D. Martin,29,David Johnson,13,J. Edelman,22,"Odell Beckham, Jr.",6,Rob Gronkowski,40,Todd Gurley,23,D. Sproles,2,C. Hyde,29
L. Blount,10,J. Howard,12,Ty. Williams,2,P. Rivers,7,G. Olsen,22,F. Gore,19,De. Murray,24,M. Gordon,10,C. Coleman,6,Ja. White,5
A. Robinson,59,Mike Evans,9,De. Thomas,28,Ty Montgomery,2,Larry Fitzgerald,13,K. Dixon,2,J. Ajayi,2,Adrian Peterson,46,B. Quick,2,Brandon Marshall,14
J. Graham,3,E. Ebron,2,St. Smith,18,B. Cooks,42,Jets D,2,J. Crowder,3,P. Garcon,2,A. Boldin,3,D. Walker,24,Theo Riddick,9
Bills D,2,Dolphins D,5,T. Kelce,26,M. Thomas,2,J. Maclin,24,Da. Adams,6,D. Bryant,47,J. Nelson,48,Broncos D,8,E. Sanders,14
M. Bryant (K),2,Mark Ingram,9,Ravens D,2,Jarvis Landry,39,R. Mathews,14,J. Witten,3,D. Baldwin,13,M. Jones,6,S. Janikowski,2,M. Crabtree,8
T. West,8,Amari Cooper,32,C. Sturgis,2,Z. Ertz,2,Andrew Luck,9,Texans D,2,D. Pitta,2,C. Fleener,15,E. Manning,11,A. Gates,2
D. Moncrief,2,M. Crosby,2,M. Forte,29,Seahawks D,11,T.Y. Hilton,14,S. Hauschka,2,Titans D,2,Vikings D,2,T. Coleman,7,Packers D,2
Julio Jones,9,Russell Wilson,8,B Roethlisberger,23,S. Gostkowski,15,Golden Tate,18,R. Cobb,29,G. Gano,2,Alshon Jeffrey,5,Jeremy Hill,3,A. Vinatieri,3
R. Kelley,2,W. Snead,3,T. Eifert,4,Jo. Matthews,12,Justin Tucker,14,Mi. Wallace,7,AJ Green,56,D. Bailey,5,A. Hurns,9,E. Lacy,39
K. Allen,2,T. Pryor,2,Du. Johnson,2,Jamaal Charles,5,T. Austin,2,C. Beasley,2,J. Langford,17,M. Floyd,13,A. Foster,8,J. Reed,36
C. Newton,12,K. Benjamin,19,K. Britt,5,LeVeon Bell,7,Devonta Freeman,8,S. Shepard,2,S. Diggs,3,B. Bortles,9,J. Thomas,3,A. Dalton,6
Patriots D,4,K. Cousins,2,Jonathan Stewart,23,S. Ware,2,De. Jackson,7,C. Kaepernick,18,TJ Yeldon,6,Chiefs D,7,D. Prescott,2,DeAndre Hopkins,36
Antonio Brown,17,D. Booker,12,Ty. Hill,3,K. Rudolph,4,C. Brate,4,La. Green,3,M. Mariota,3,M. Bennett,3,M. Sanu,2,Q. Enunwa,4
E. Decker,2,D. Henry,3,CJ Anderson,2,S. Watkins,3,Ja. Winston,9,Lions D,2,W. Smallwood,5,I. Crowell,2,B. Powell,2,M. Asiata,2
D. Woodhead,2,R. Jennings,2,Ma. Mitchell,2,Chargers D,2,Giants D,4,C. Michael,2,Cardinals D,2,De. Parker,3,Lamar Miller,48,Ri. Matthews,4
