JODI,,ADAM,,ELISA,,GREG,,MITCH,,RAMAN,,LANCE,,STEVE,,JACKIE,,LEAH
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
James Winston,6,Patrick Mahomes,11,Dak Prescott,11,Carson Wentz,26,Lamar Jackson,1,Drew Brees,16,Kyler Murray,5,Deshaun Watson,42,Phillip Rivers,3,Matt Ryan,6
Dalvin Cook,4,Todd Gurley II,56,Ezekiel Elliott,61,Le'Veon Bell,9,Sony Michel,17,Chris Carson,38,Aaron Rodgers,49,Nick Chubb,40,Melvin Gordon,12,Saquon Barkley,65
Christian McCaffrey,35,Russell Wilson,13,Alvin Kamara,3,Kenyan Drake,2,Randall Cobb,1,Devin Singletary,8,Aaron Jones,6,Mark Ingram II,6,Derrick Henry,35,Devonta Freeman,45
Josh Jacobs,24,Julio Jones,11,AJ Brown,12,Julian Edelman,30,Allen Robinson II,15,Austin Ekeler,16,Joe Mixon,51,Adam Thielen,5,Miles Sanders,19,Adrian Peterson,1
Raheem Mostert,2,Leonard Fournette,39,Kenny Golladay,13,Michael Thomas,4,Darren Fells,1,Davante Adams,20,Tevin Coleman,1,DeAndre Hopkins,58,Ronald Jones II,1,Chris Godwin,15
Keenan Allen,36,DJ Moore,7,Michael Gallup,5,Amari Cooper,43,Will Lutz,1,Tom Brady,5,Odell Beckham Jr.,8,Tyler Boyd,3,Tyreek Hill,45,Mike Evans,45
DeVante Parker,1,George Kittle,4,Josh Hill,10,Noah Fant,2,Brandin Cooks,39,Travis Kelce,32,Christian Kirk,5,Marvin Jones Jr.,1,Tyler Lockett,34,Dallas Goedert,1
Darren Waller,2,Courtland Sutton,1,Saints,3,Eagles,4,Bears,3,Patriots,3,Rams,9,TJ Hockenson,7,Zach Ertz,5,49ers,1
Ravens ,1,Steelers,5,Justin Tucker,6,Greg Zuerlein,8,Calvin Ridley,20,Matt Prater,1,Hunter Henry,7,Cowboys,1,Broncos,2,Matt Gay,1
Robbie Gould,1,Joey Slye,1,Evan Engram,2,David Johnson,15,Sammy Watkins,7,Damien Williams,39,Harrison Butker,3,Chris Boswell,1,Jake Elliott,2,LeSean McCoy,1
James Conner,4,James White,10,TY Hilton,22,DJ Chark Jr.,3,Jordan Howard,3,Phillip Lindsay,8,JuJu Smith-Schuster,3,Kerryon Johnson,30,Jared Goff,3,Jacoby Brissett,1
Robert Woods,35,Mike Williams,16,Tony Pollard,3,Jarvis Landry,5,Chargers,5,Marquise Brown,1,David Montgomery,20,Jared Cook,6,Stefon Diggs,24,Matt Breida,1
Mike Boone,3,Kareem Hunt,1,Larry Fitzgerald,2,Derrius Guice,5,Carlos Hyde,17,Jimmy Garoppolo,11,Jimmy Graham,1,Frank Gore,1,Marlon Mack,15,Marquez Valdez-Scantling,1
Will Fuller V,3,Terry McLaurin,4,Mark Andrews,16,Rashaad Penny,3,Corey Davis,7,Curtis Samuel,1,Alshon Jeffrey,15,Golden Tate,1,Greg Olsen,1,Latavius Murray,3
Alexander Mattison,2,Jack Doyle,6,Jamaal Williams,2,DK Metcalf,1,Austin Hooper,5,Colts,5,Kenny Stills,1,Panthers,1,Cardinals ,3,Brian Hill,5
Breshad Perriman,7,Darwin Thompson,1,Vikings,1,Will Dissly,1,Baker Mayfield,6,Cooper Kupp,2,Bills,13,Ryan Tannehill,1,Jamison Crowder,4,Nick Foles,3
Greg Ward,1,Antonio Brown,1,Deebo Samuel,12,Josh Allen,1,Daniel Jones,1,Jason Witten,1,Zach Pascal,6,Tarik Cohen,1,Browns,3,John Brown,2
