ADAM,,JODI,,RAMAN,,GREG,,ELISA,,LANCE,,STEVE,,JACKIE,,MITCH,,LEAH
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
Patrick Mahomes,15,Christian McCaffrey,51,Davante Adams,29,Josh Allen,10,Ezekiel Elliott,15,Aaron Jones,10,Justin Jefferson,36,James Conner,39,Joe Burrow,10,Tyreek Hill,44
George Kittle,8,Tee Higgins,4,Austin Ekeler,67,Ja'Marr Chase,9,Chris Olave,6,Justin Herbert,4,Miles Sanders,9,Saquon Barkley,42,CeeDee Lamb,12,Kirk Cousins,3
Breece Hall,12,Jalen Hurts,25,Tony Pollard,3,Travis Kelce,58,Justin Fields,2,Rachaad White,2,Alexander Mattison,3,Garrett Wilson,4,Josh Jacobs,33,Amari Cooper,25
Nick Chubb,7,Darren Waller,18,Deebo Samuel,23,Jahmyr Gibbs,35,Bijan Robinson,50,T.J. Hockenson,16,Joe Mixon,31,A.J. Brown,47,De'Von Achane,51,Derrick Henry,57
DK Metcalf,36,Trevor Lawrence,23,Michael Pittman Jr.,11,Travis Etienne Jr.,41,Amon-Ra St. Brown,50,Cooper Kupp,35,Stefon Diggs,58,DeVonta Smith,31,Mike Evans,15,Isiah Pacheco,7
Mike Williams,15,Calvin Ridley,36,Tua Tagovailoa,8,Kenneth Walker III,19,Bears D/ST,2,Keenan Allen,26,Lamar Jackson,26,Dak Prescott,13,Kyle Pitts,19,Evan Engram,10
Drake London,9,Ty Chandler,6,Dallas Goedert,15,Chris Godwin,5,Justin Tucker,3,Najee Harris,32,Jonathan Taylor,9,Taysom Hill,5,Terry McLaurin,10,Jerry Jeudy,8
James Cook,17,Alvin Kamara,10,D'Andre Swift,12,Nico Collins,2,Tyler Lockett,9,Jaylen Waddle,42,Christian Watson,16,Aaron Rodgers,14,DeAndre Hopkins,22,Rhamondre Stevenson,20
Puka Nacua,11,Javonte Williams,5,K.J. Osborn,7,Diontae Johnson,13,Christian Kirk,2,DJ Moore,21,Jerome Ford,57,Buccaneers D/ST,3,Jason Sanders,1,Brandon Aiyuk,7
Khalil Herbert,1,Raheem Mostert,3,Steelers D/ST,2,Jets D/ST,1,Devin Singletary,3,Joe Flacco,11,Jake Ferguson,1,Jake Elliott,5,Bills D/ST,5,David Montgomery,9
Kyren Williams,6,Jordan Addison,9,49ers D/ST,5,Kyler Murray,1,Marquise Brown,4,Jayden Reed,5,Eagles D/ST,6,Ravens D/ST,8,Jared Goff,13,Anthony Richardson,3
Jaguars,1,George Pickens,5,Geno Smith,3,Jaylen Warren,1,Russell Wilson,6,Logan Thomas,1,Dustin Hopkins,1,Tyler Bass,5,Tyler Higbee,1,Cowboys D/ST,1
Zay Flowers,3,Trey McBride,1,Dalton Schultz,1,Colts D/ST,2,Cole Kmet,1,Browns D/ST,1,Elijah Mitchell,1,Jerick McKinnon,5,C.J. Stroud,1,Baker Mayfield,10
Jonnu Smith,1,Chiefs D/ST,1,AJ Dillon,3,Jake Moody,2,Giants D/ST,2,Brandon Aubrey,11,Jordan Love,12,Brock Purdy,5,Dameon Pierce,1,David Njoku,5
Kareem Hunt,15,Nick Folk,1,Demario Douglas,1,Sam LaPorta,2,Zach Charbonnet,67,Dolphins D/ST,1,Rashee Rice,1,Dalton Kincaid,3,Chargers D/ST,1,Tyjae Spears,1
Evan McPherson,1,Pat Freiermuth,3,Noah Brown,22,Jakobi Meyers,5,Brian Robinson Jr.,7,Chuba Hubbard,1,Josh Downs,4,Roschon Johnson,3,Matthew Stafford,1,Chris Boswell,1
Joshua Dobbs,1,Courtland Sutton,2,Harrison Butker,12,Zamir White,11,Odell Beckham Jr.,1,Sam Howell,7,Luke Musgrave,1,Jahan Dotson,5,Gus Edwards,1,Justice Hill,8
Adam Thielen,1,Packers D/ST,4,,,,,Isaiah Likely,2,Brandin Cooks,1,Robert Woods,3,Tyler Allgeier,5,D'Onta Foreman,1,Raiders,1
Broncos D/ST,1,,,,,,,,,Tank Dell,6,,,Michael Thomas,5,,,,,				
