ADAM,,JODI,,RAMAN,,GREG,,ELISA,,LANCE,,STEVE,,JACKIE,,MITCH,,ROB
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
Julio Jones,10,Jordan Howard,13,Travis Kelce,29,David Johnson,14,Ezekiel Elliott,55,Odell Beckham Jr.,7,DeMarco Murray,26,Drew Brees,24,Tom Brady,22,Carlos Hyde,32
Antonio Brown,19,Mike Evans,10,C.J. Anderson,3,Michael Thomas,3,Andrew Luck,10,Kirk Cousins,10,Jay Ajayi,3,Melvin Gordon,11,DeAndre Hopkins,34,Michael Crabtree,9
Keenan Allen,3,Alex Smith,4,Matt Ryan,5,Le'Veon Bell,8,Devonta Freeman,9,Brandin Cooks,55,Doug Baldwin,14,Jordy Nelson,53,Leonard Fournette,33,Alex Collins,4
LeSean McCoy,56,Kelvin Benjamin,25,Duke Johnson Jr.,2,Cam Newton,23,Dez Bryant,46,Aaron Rodgers,67,A.J. Green,53,T.Y. Hilton,39,Samaje Perine,18,Ty Montgomery,26
Kareem Hunt,41,Christian McCaffery,32,Golden Tate,30,Alshon Jeffery,25,Larry Fitzgerald,22,Jamison Crowder,2,Lamar Miller,36,Isaiah Crowell,30,Kyle Rudolph,13,Demaryius Thomas",33
Jared Goff,6,Marshawn Lynch,29,Mark Ingram,15,Todd Gurley II,41,Rob Gronkowski,42,Bilal Powell,13,Russell Wilson,18,Zach Ertz,4,Tevin Coleman,6,Jarvis Landry,20
Tyreek Hill,17,Robert Woods,3,Davante Adams,18,Amari Cooper,43,Justin Tucker,4,Latavius Murray,2,Kenny Britt,3,Frank Gore,12,Jonathan Stewart,6,Matthew Stafford,7
Greg Olsen,2,Stefan Diggs,15,Mohamed Sanu,3,Robbie Gould,3,Dak Prescott,11,Orleans Darkwa,6,Jimmy Graham,15,Seahawks,15,Kenyan Drake,7,Jeremy Maclin,8
Jerick McKinnon,28,Joe Mixon,22,Devin Funchess,2,Cooper Kupp,7,Alvin Kamara,2,Robby Anderson,6,Cardinals,10,Mike Wallace,2,Randall Cobb,11,Kai Forbath,6
Redskins,2,Matt Breida,4,Emmanuel Sanders,12,Chris Hogan,2,Rex Burkhead,3,JuJu Smith-Shuster,2,Marcus Mariota,10,Stephen Gostkowski,9,LeGarrette Blount,6,Joe Williams,2
Jack Doyle,2,Evan Engram,2,Delanie Walker,9,Matt Bryant,7,Panthers,5,Ravens,6,DeSean Jackson,5,Coby Fleener,2,Dolphins,2,Theo Riddick,10
Derrick Henry,2,Philip Rivers,9,Bears,2,Marquise Goodwin,6,Rishard Matthews,2,Chris Boswell,2,Vikings,11,Tyrod Taylor,2,Ted Ginn Jr.,2,Malcolm Mitchell,2
Jamaal Williams,2,Broncos,19,Ben Roethlisberger,8,Eric Ebron,2,Austin Sefarian-Jenkins,2,Tyler Kroft,2,Doug Martin,6,Eagles,2,Texans,13,Andy Dalton,6
Sterling Shepard,2,Dalvin Cook,3,Mike Davis,2,Deshaun Watson,18,Chargers,17,Corey Davis,2,Adam Thielen,4,Julius Thomas,4,Derek Carr,23,Jason Witten,4
Patrick Mahomes,2,Carson Wentz,2,Graham Gano,2,Jaguars,2,Nelson Agholor,2,Zay Jones,8,Josh Gordon,14,Marvin Jones Jr.,2,Jared Cook,9,Rams,5
Dion Lewis,2,Wil Lutz,2,Saints,6,Jake Elliot,3,Will Fuller V,5,O.J. Howard,8,Mason Crosby,2,Chris Thompson,2,Sammy Watkins,2,James White,2
Harrison Butker,2,Patriots,3,Chris Ivory,6,Charles Clay,2,Alfred Morris,2,Davis Webb,8,Hunter Henry,2,Adam Vinatieri,2,Brandon McManus,2,Julian Edelman,2
