ADAM,,JODI,,RAMAN,,GREG,,ELISA,,LANCE,,STEVE,,JACKIE,,MITCH,,LEAH
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
Patrick Mahomes,15,Dalvin Cook,8,Davante Adams,29,Deebo Samuel,20,Alvin Kamara,7,Kyler Murray,9,Javonte Williams,20,Derrick Henry,51,Joe Burrow,10,Leonard Fournette,6
George Kittle,8,Christian McCaffrey,51,Austin Ekeler,67,Josh Allen,10,Mark Andrews,20,Aaron Jones,10,Jonathan Taylor,63,James Conner,39,Cooper Kupp,28,Joe Mixon,51
Jeff Wilson,2,Tee Higgins,4,Stefon Diggs,22,Ja'Marr Chase,9,Najee Harris,61,Justin Herbert,4,Justin Jefferson,36,Saquon Barkley,42,CeeDee Lamb,12,Diontae Johnson,12
Travis Etienne,43,Jalen Hurts,25,Jamaal Williams,6,D'Andre Swift,57,Mike Evans,45,Nick Chubb,49,A.J. Brown,36,Mike Williams,36,David Montgomery,44,Tyreek Hill,44
Clyde Edwards-Helaire,25,Courtland Sutton,20,Aaron Rodgers,17,Travis Kelce,58,Lamar Jackson,40,Rachaad White,2,Ezekiel Elliott,37,Tom Brady,21,Josh Jacobs,33,Michael Pittman,30
JuJu Smith-Schuster,18,Antonio Gibson,4,DeVonta Smith,4,Dameon Pierce,29,Justin Tucker,7,Chris Godwin,22,Miles Sanders,9,Terry McLaurin,19,A.J. Dillon,17,Dalton Schultz,17
Adam Thielen,18,Zonovan Knight,2,Raheem Mostert,4,Gabe Davis,19,Brandin Cooks,20,D.J. Moore,21,Matthew Stafford,8,Hunter Henry,2,Bills D/ST,6,Dak Prescott,20
Breece Hall,12,Jerry Jeudy,18,Gerald Everett,4,Allen Lazard,2,DK Metcalf,8,Keenan Allen,37,DeShaun Watson,2,Garrett Wilson,4,Jaylen Waddle,11,Amari Cooper,6
Amon-Ra St. Brown,17,Dallas Goedert,3,Derek Carr,10,Rhamondre Stevenson,9,Allen Robinson,6,Josh Palmer,7,Alexander Mattison,3,David Njoku,2,Tyler Higbee,4,Marquise Brown,12
Tua Tagovailoa,2,Trevor Lawrence,4,Dawson Knox,13,Jerick McKinnon,3,Christian Kirk,2,T.J. Hockenson,5,Taysom Hill,5,Tyler Allgeier,4,Hassan Haskins,2,Kareem Hunt,7
Tyler Boyd,2,J.K. Dobbins,18,Brandon Aiyuk,4,Kenneth Walker III,3,Chris Olave,6,Jahan Dotson,19,Brian Robinson,2,Khalil Herbert,3,Gus Edwards,2,Kirk Cousins,3
Treylon Burks,3,Jameson Williams,1,Broncos D/ST,2,Zay Jones,4,Justin Fields,2,George Pickens,2,Kadarius Toney,2,Marquez Valdes-Scantling,2,Cordarrelle Patterson,9,Rashod Bateman,2
DJ Chark,2,DeAndre Hopkins,7,Tony Pollard,3,Cowboys D/ST,4,Tyler Lockett,2,Christian Watson,2,Curtis Samuel,13,Taylor Heinicke,9,Jared Goff,2,Devin Singletary,9
Isiah Pacheco,4,Greg Dulcich,2,Jaguars,2,Drake London,2,Donta Foreman,34,Zack Moss,4,Romeo Doubs,12,Cairo Santos,2,Hunter Renfrow,2,Colts D/ST,2
Latavius Murray,13,Mecole Hardman,8,Cam Akers,3,Pat Freiermuth,2,Jets D/ST,2,Brett Maher,2,Jakobi Meyers,3,Chargers D/ST,3,Daniel Carlson,2,Matt Ryan,11
Buccaneers D/ST,7,Tyler Bass,5,Raiders,2,Cameron Dicker,3,Tyler Huntley,2,Harrison Butker,2,Younghoe Koo,2,Nick Folk,4,Michael Gallup,2,Hayden Hurst,11
Gardner Minshew,2,Seahawks D/ST,3,Graham Gano,2,Geno Smith,2,Donovan Peoples-Jones,3,Patriots D/ST,2,Eagles D/ST,9,Ravens D/ST,6,Michael Carter,2,Ryan Succop,6
Jason Myers,2,Chiefs D/ST,5,,,Dolphins D/ST,2,,,,,Jimmy Garoppolo,4,,,,,,
49ers,2,James Robinson,6,,,Titans D/ST,4,,,,,,,,,,,,
